Explicit permitted UI changes

Read with the Word prompt; no implementation phase may silently omit a mapped requirement.

ID | Surface | Change | Content | Behavior
U01 | Cockpit cards | Keep existing visual design; display at least ten generated cases through list/scroll or Show all with visible total. | Title, severity, affected and eligible count, product/pocket, date, SAR exposure, notice timestamp. | Click opens that occurrence’s drawer, not a generic answer.
U02 | Right-hand drawer | Retain current width, typography and Investigate button; add stacked evidence sections. | Bottom line, trend, PD12/lifetime basis, origination score, behavioral score, ECL/stage change, normalized pocket, coverage and sources. | Separate current book vs same-cohort comparators; all denominators visible.
U03 | Thread context | Complete drawer snapshot at top; preserve root and current-filter breadcrumbs. | Case/snapshot/bundle/date, root and current counts, conclusion, charts and definitions. | Collapse only via explicit control; reload and Back do not lose context.
U04 | Prompt chips | Five tailored prompts immediately above composer, one suggested next; keep free text. | Short chip label plus full readable prompt; visited markers and model/data caveats. | Follow same insert/submit behavior as existing chips; no unseen answers preloaded.
U05 | Thread export toolbar | Add Export customers to Borrower 360 alongside Trace/Save at S0 and each answer. | Current authorized count; all-matched versus selected; customer and facility counts. | Persist server snapshot/token; no thousands of IDs in a URL and no page-only export.
U06 | Borrower 360 imported mode | Existing layout with investigation banner, selectable customer rows and facility expansion. | Exact issue; scores; PD/LGD/EAD/ECL/stage/DPD; EWS score/band, reasons and six-month+ chart; missing-data badge. | EWS investigation enrichment only in exported or saved context; standalone searches unchanged.
U07 | Recent investigations | Persist a recent-investigation draft automatically on each import; place its card below the Borrower 360 chatbox. Save names/pins a version. | Issue; notified/saved times; segment; count; ODR value with numerator/denominator/window; notes preview and source step. | Click restores list, notes and snapshot. Update-to-latest creates an explicit new version.
U08 | Borrower 360 actions | Save, notes, Export Excel and Export to What-If for selected customers. | Selection count plus included facilities; flagged-only versus all facilities is an explicit choice. | Notes retain author/date/history. No note may override policy or tool instructions.
U09 | What-If import | Use existing module and retain return link. | Imported scope banner, unchanged baseline metrics, model/policy versions and available scenario controls. | Validate identical baseline before simulation; no actual account changes.
U10 | Charts and accessibility | Reuse current chart components; readable labels/contrast/tooltips, responsive drawer. | Units, periods, denominators, data-table option and no-data explanations. | Do not hide anomalies under 0 DPD or exaggerate with undisclosed axis tricks; all units/horizons explicit.
