Primary research and provenance

Read with the Word prompt; no implementation phase may silently omit a mapped requirement.

ID | Publisher | Document | URL / provenance | Date / status | What it supports and does not
R01 | SAMA | Responsible Lending Principles for Individual Customers | https://rulebook.sama.gov.sa/en/responsible-lending-principles-individual-customers-0 | 2018 consolidated rules; accessed 17 Sep 2026 | Documented underwriting, credit-history verification, disposable-income assessment and treatment of uneven installments. Public rules do not establish actual bank portfolio deterioration.
R02 | SAMA | Chapter IV: Quantitative Principles of Responsible Lending | https://rulebook.sama.gov.sa/en/chapter-iv-quantitative-principles-responsible-lending | Accessed 17 Sep 2026 | Affordability limits depend on income, salary/pension, obligation type and supported-housing status. Never apply one universal debt-burden threshold to every customer.
R03 | SAMA | Debt Collection Regulations and Procedures | https://rulebook.sama.gov.sa/en/debt-collection-regulations-and-procedures | In-force March 2025 rules; accessed 17 Sep 2026 | Articles 4, 7–10 cover confidential contact, payment-date alignment, deductions and responses to changed circumstances. The operational definition of default here is not automatically the IFRS9/model definition.
R04 | Arab National Bank | Auto Lease product information | https://anb.com.sa/web/anb/auto-lease | Public product context; terms must be revalidated at implementation | Final-payment and used-vehicle structures provide context for maturity and recovery cases. Refinancing availability is not a promise of approval. No ANB loss or default figures are asserted.
R05 | Arab National Bank | Real Estate Finance product information | https://anb.com.sa/web/anb/real-estate | Public product context; page availability/terms must be revalidated | Self-construction, housing-support and repayment-structure context. Synthetic delays and support mismatches below are invented; do not infer a real developer or support programme failure.
R06 | SAMA | Rules for Regulating Buy-Now-Pay-Later Companies | https://rulebook.sama.gov.sa/en/rules-regulating-buy-now-pay-later-bnpl-companies-0 | Consolidated rules; accessed 17 Sep 2026 | Credit-record and repayment-capacity requirements inform external-obligation verification. Actual bureau coverage, consent and reporting lag must be checked. Do not hard-code an obsolete BNPL cap.
R07 | IFRS Foundation | IFRS 9 Financial Instruments / impairment background | https://www.ifrs.org/issued-standards/list-of-standards/ifrs-9-financial-instruments/ | Accessed 17 Sep 2026 | Probability-weighted, time-sensitive impairment measurement and distinction between 12-month and lifetime losses. The teaching calculation in this workbook is not an approved bank methodology.
R08 | SDAIA | Personal Data Protection knowledge centre | https://dgp.sdaia.gov.sa/wps/portal/pdp/knowledgecenter | Accessed 17 Sep 2026 | Privacy context for purpose-limited customer investigations, controlled exports and retention. Bank legal/compliance must specify the lawful basis and concrete retention/transfer rules.
P01 | User attachment | Latest ANB branch calibration and regression report | User attachment: Pasted markdown.md | Report supplied in this conversation | Reports 12 commits, 40/40 ANB gates, 4.01x 20–29 DPD baseline multiple and 20 attributed pre-existing retail failures. Reproduce the audit at the actual full SHA; this is a report, not independently verified local state.
SYN | This implementation package | Synthetic worked fixture / draft bank-policy templates | Source: CP-RA-V2-2026-08 synthetic generation | As-of 31 Aug 2026 | All people, employers, projects, rates, balances, internal scores, policies and thresholds in the worked cases are invented. Nothing represents ANB customer data, actual distress or bank-approved policy.
