All sixty stage-specific outputs

Six snapshots per case, S0–S5. Planned later steps exist here for implementation but must not leak into earlier user exports.

Case | Step | Exact question / action | Expected output | Scope predicate | Customer N | Snapshot ID | Chart specification | Export requirement | Source
C01 | S0 | Open card / carried context | Alpha Card early arrears: 15 of 100 eligible observations meet the issue rule, versus 6 of 100 in the comparator (2.50×; +9.0 percentage points). Affected gross exposure is SAR 359,462. For the same current issue customers, published synthetic ECL moves from SAR 7,512 to SAR 42,519. Comparable forward PD rises from 3.5% to 10.5% on 15 non-impaired issue customers. Behavioral score moves from 660.0 to 490.0; the original application score stays immutable. These are calibration fixtures, not bank performance estimates. | Current issue predicate | 15 | CPRA-C01-S0-20260831-v1 | Issue trend + score and ECL panels | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C01 | S1 | Split 1–29 DPD into 1–9, 10–19 and 20–29 days and show the six-month trend. Is this merely short payment timing? | 1–9: 2 customers; 10–19: 1; 20–29: 12. The comparator has 2, 1 and 3 respectively. Deep early arrears therefore rise from 3 to 12 accounts: fourfold and 80% of current 1–29 cases. A shared statement cycle can concentrate DPD. It does not establish stress alone; corroborate funding and repayments before intervention. | Detailed evidence subgroup | 12 | CPRA-C01-S1-20260831-v1 | Disaggregation table + comparable trend or maturity ladder | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C01 | S2 | How have the same 20–29 DPD customers’ behavioral scores changed? Keep their original application scores separate. | Keep the S1 set of 12 IDs fixed. The demonstration behavioral-score change is 170 adverse points, while their original application values do not change. The pocket’s original internal score is around 604; compare its distribution with the matched controls near 690. Keep score model versions, cohort coverage and default status visible. | Same S1 IDs; historical match | 12 | CPRA-C01-S2-20260831-v1 | Matched score distribution + transition/trajectory chart | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C01 | S3 | Could the score fall just be the DPD input? Decompose it by model variable and show which non-arrears changes preceded the missed payment. | For corroborated accounts, utilization increases from 41.5% to 97.4% while repayment proportion falls from 28% to 5.5%. Utilization and repayments contribute 120 of 170 adverse score points. They are distinct from DPD, not proof of statistical independence or causation. Verify the pre-arrears time sequence. | Corroborated evidence subgroup | 11 | CPRA-C01-S3-20260831-v1 | Variable point waterfall / ECL driver bridge + feature timelines | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C01 | S4 | Where is this stress concentrated by subproduct and original score band, after controlling for vintage and statement cycle? | The named pocket contains 28 of 100 eligible observations (28%) and 13 of 15 issue cases (86.7%). Its issue incidence is 46.4%, versus 2.8% outside, a 16.71× rate ratio. Narrow the corroborated list to 11 policy-review customers. Use Alpha versus Standard/Premium and 580–589, 590–599, 600–619, 620+ internal bands. Show affected / eligible rates, not raw counts. These are internal demo scores, not a claimed SIMAH scale. | Corroborated AND named pocket | 11 | CPRA-C01-S4-20260831-v1 | Normalized pocket incidence + within-pocket score/feature bands | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C01 | S5 | What should we do next? Give a sequenced action plan linked to the applicable policy clauses. | 1. Existing accounts: within one business day assign confidential early-arrears contact, verify cash flow and pause discretionary limit increases only where policy/terms permit. 2. NEW originations: test 20,000→17,000 SAR at 600–619, 15,000→12,000 at 590–599 and 10,000→7,500 at 580–589. These are trial assumptions, not approved or optimized reductions. 3. Credit policy owner reviews the controlled expansion, not all cards. Approval is required; measure cure, 30+ roll rate and complaints after intervention. Existing drawn debt is unchanged by a limit cut. Recompute EAD = drawn + CCF × unused headroom. Separate NEW-book limit proposals from existing-account contractual changes; keep PD unchanged unless independently modeled. | Same S4 policy-review scope | 11 | CPRA-C01-S5-20260831-v1 | Policy action table + scenario inputs and tradeoffs | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C02 | S0 | Open card / carried context | Personal finance acquisition quality: 16 of 100 eligible observations meet the issue rule, versus 5 of 100 in the comparator (3.20×; +11.0 percentage points). Affected gross exposure is SAR 2,113,638. For the same current issue customers, published synthetic ECL moves from SAR 288,960 to SAR 1,428,290. All issue customers are already credit-impaired: a forward PD comparison for that issue cohort is not applicable; show stage/default and recovery instead. Behavioral score moves from 654.1 to 549.1; the original application score stays immutable. These are calibration fixtures, not bank performance estimates. | Current issue predicate | 16 | CPRA-C02-S0-20260831-v1 | Issue trend + score and ECL panels | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R07
C02 | S1 | Compare booking vintages at exactly month-on-book 6. Split first-default timing into MOB1–2 and MOB3–6, retaining the original eligible population. | The current mature vintage has 16 defaults out of 100 versus 5/100 for its historical mature comparator. Three first defaults occur at MOB1–2; thirteen at MOB3–6. Do not compare immature vintages or omit closed loans. Book growth and differing months-on-book can imitate deterioration. Match vintage age and risk mix before judging the acquisition channel. | Detailed evidence subgroup | 13 | CPRA-C02-S1-20260831-v1 | Disaggregation table + comparable trend or maturity ladder | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R07
C02 | S2 | Return to the original application scores and decision-time features for this vintage. Were the customers weak when approved? | Keep the S1 set of 13 IDs fixed. The demonstration behavioral-score change is 105 adverse points, while their original application values do not change. The pocket’s original internal score is around 610; compare its distribution with the matched controls near 690. Here the application evidence, rather than a monthly change in the original score, is the main diagnostic evidence. | Same S1 IDs; historical match | 13 | CPRA-C02-S2-20260831-v1 | Matched score distribution + transition/trajectory chart | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R07
C02 | S3 | Which application scorecard inputs and authorized exception codes explain the weak original profile? Use the model and policy versions in force then. | The internal application benchmark is 700; debt burden −45, employer tenure −30 and documented credit history −15 produce 610. Original burden is 54% and tenure three months. These values are immutable historical inputs, not reconstructed from current defaults. Apply the correct affordability rules before calling an exception a breach. | Corroborated evidence subgroup | 12 | CPRA-C02-S3-20260831-v1 | Variable point waterfall / ECL driver bridge + feature timelines | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R07
