Thirty formula-reproducible facility examples

Teaching annual-bucket model. Stage 1 = year-one default events; Stage 2 = lifetime marginal loss; Stage 3 = discounted net recoveries. Full production horizon must not be truncated.

Case | Customer | Stage | PD12 | LGD | EAD SAR | EIR | Years | EAD decay | GCA SAR | Recovery fraction | Recovery delay years | Base loss | Upside loss | Downside loss | Weighted loss | Published source loss | Difference SAR
C01 | D01-0001 | 2 | 0.105 | 0.7 | 22147.61 | 0.18 | 2 | 0.92 | 21855.9 | 0.30000000000000004 | 0.5 | 2342.1670193471705 | 1702.622847573732 | 3698.1589684643104 | 2585.23338086044 | 2585.23338086044 | 0
C01 | D01-0002 | 2 | 0.105 | 0.7 | 23013.72 | 0.18 | 2 | 0.92 | 22710.6 | 0.30000000000000004 | 0.5 | 2433.76039114335 | 1769.2060443390756 | 3842.7801020392935 | 2686.3321668466942 | 2686.3321668466942 | 0
C01 | D01-0096 | 1 | 0.019250000000000003 | 0.68 | 40720.35 | 0.18 | 2 | 0.92 | 25274.7 | 0.31999999999999995 | 0.5 | 451.7198148305086 | 325.23826667796624 | 727.2689018771188 | 501.63485436927976 | 501.63485436927976 | 0
C02 | D02-0001 | 3 | 1 | 0.65 | 119012.62 | 0.085 | 3 | 0.72 | 119012.62 | 0.35 | 0.5 | 79023.09999488454 | 75024.147994373 | 87021.00399590764 | 80422.73319506359 | 80422.73319506359 | 0
C02 | D02-0002 | 3 | 1 | 0.65 | 123666.75 | 0.085 | 3 | 0.72 | 123666.75 | 0.35 | 0.5 | 82113.39227127668 | 77958.05649840434 | 90424.06381702135 | 83567.759791782 | 83567.759791782 | 0
C02 | D02-0096 | 1 | 0.022000000000000002 | 0.62 | 137629.12 | 0.085 | 3 | 0.72 | 137629.12 | 0.38 | 0.5 | 1730.1946514285717 | 1245.7401490285715 | 2785.6133888 | 1921.3811604114285 | 1921.3811604114285 | 0
C03 | D03-0001 | 2 | 0.11 | 0.61 | 92565.38 | 0.08 | 3 | 0.75 | 92565.38 | 0.39 | 0.5 | 11502.382898146989 | 8424.142106176298 | 17894.841027271672 | 12638.761311632556 | 12638.761311632556 | 0
C03 | D03-0002 | 2 | 0.11 | 0.61 | 96185.25 | 0.08 | 3 | 0.75 | 96185.25 | 0.39 | 0.5 | 11952.196108890736 | 8753.577358166667 | 18594.638275329096 | 13133.013837891715 | 13133.013837891715 | 0
C03 | D03-0096 | 1 | 0.013750000000000002 | 0.58 | 107044.88 | 0.08 | 3 | 0.75 | 107044.88 | 0.42000000000000004 | 0.5 | 790.4471462962963 | 569.1219453333334 | 1272.6199055370369 | 877.7915559620369 | 877.7915559620369 | 0
C04 | D04-0001 | 2 | 0.135 | 0.66 | 145459.88 | 0.09 | 3 | 0.73 | 145459.88 | 0.33999999999999997 | 0.5 | 22768.989594978135 | 16730.63915222164 | 35188.64061441123 | 24968.149783422938 | 24968.149783422938 | 0
C04 | D04-0002 | 2 | 0.135 | 0.66 | 151148.25 | 0.09 | 3 | 0.73 | 151148.25 | 0.33999999999999997 | 0.5 | 23659.396196044945 | 17384.909359472764 | 36564.731448611 | 25944.55698370063 | 25944.556983700633 | -3.637978807091713e-12
C04 | D04-0096 | 1 | 0.02475 | 0.64 | 168213.38 | 0.09 | 3 | 0.73 | 168213.38 | 0.36 | 0.5 | 2444.4953570642206 | 1760.0366570862386 | 3935.637524873395 | 2714.612094019817 | 2714.6120940198166 | 4.547473508864641e-13
C05 | D05-0001 | 2 | 0.12 | 0.39 | 79341.75 | 0.075 | 2 | 0.7 | 79341.75 | 0.61 | 0.5 | 5433.432891206057 | 3950.937917181093 | 8574.008512687593 | 5996.202550472697 | 5996.202550472696 | 9.094947017729282e-13
C05 | D05-0002 | 2 | 0.12 | 0.39 | 82444.5 | 0.075 | 2 | 0.7 | 82444.5 | 0.61 | 0.5 | 5645.913507063278 | 4105.443869249628 | 8909.304934971466 | 6230.690918368277 | 6230.690918368277 | 0
C05 | D05-0096 | 1 | 0.0165 | 0.32 | 91752.75 | 0.075 | 2 | 0.7 | 91752.75 | 0.6799999999999999 | 0.5 | 450.65536744186056 | 324.47186455813966 | 725.5551415813953 | 500.4527855441861 | 500.4527855441861 | 0
C06 | D06-0001 | 3 | 1 | 0.5 | 68762.85 | 0.085 | 2 | 0.7 | 68762.85 | 0.5 | 1 | 37074.90069124424 | 33906.105760368664 | 43412.4905529954 | 38183.97891705069 | 38183.97891705069 | 0
C06 | D06-0002 | 2 | 0.051 | 0.5 | 71451.9 | 0.085 | 2 | 0.7 | 71451.9 | 0.5 | 1 | 2707.439632258064 | 1957.3130925124424 | 4323.394315625806 | 2998.9093221381563 | 2998.9093221381563 | 0
C06 | D06-0096 | 1 | 0.027500000000000004 | 0.3 | 79519.05 | 0.085 | 2 | 0.7 | 79519.05 | 0.7 | 0.5 | 604.6379377880185 | 435.3393152073735 | 973.4670798387097 | 671.4504299135945 | 671.4504299135945 | 0
C07 | D07-0001 | 2 | 0.075 | 0.24 | 722891.5 | 0.055 | 3 | 0.94 | 722891.5 | 0.76 | 0.5 | 30876.512286712983 | 22546.99088100649 | 48319.68224922335 | 33987.8765664846 | 33987.8765664846 | 0
