id,module,route,ui_state,control_or_function,prerequisites,journey,test_id,environment,action,expected_effect,evidence,observed,status,defect
RUI-001,"Good morning, Mr. Sajid",/,empty,"19 buttons, 1 inputs, 0 selects, 5 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by cockpit_chat; exercised by cockpit_journeys; exercised by navigation,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-.png,"heading 'Good morning, Mr. Sajid'; 19 buttons, 1 inputs, 0 selects, 5 tabs, 0 tables",PASS,
RUI-002,My workspace,/workspace,populated,"7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-workspace.png,"heading 'My workspace'; 7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-003,Messages,/messages,populated,"13 buttons, 2 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-messages.png,"heading 'Messages'; 13 buttons, 2 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-004,Projects,/projects,empty,"9 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-projects.png,"heading 'Projects'; 9 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-005,Project Planner,/delivery,populated,"7 buttons, 1 inputs, 2 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-delivery.png,"heading 'Project Planner'; 7 buttons, 1 inputs, 2 selects, 0 tabs, 0 tables",PASS,
RUI-006,Investigations,/investigations,populated,"57 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by cockpit_chat; exercised by navigation,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-investigations.png,"heading 'Investigations'; 57 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-007,Analyses,/analyses,empty,"7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-analyses.png,"heading 'Analyses'; 7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-008,Documents,/documents,populated,"7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-documents.png,"heading 'Documents'; 7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-009,Lenses,/lenses,empty,"8 buttons, 1 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-lenses.png,"heading 'Lenses'; 8 buttons, 1 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-010,Metric Catalogue,/metrics,populated,"9 buttons, 1 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-metrics.png,"heading 'Metric Catalogue'; 9 buttons, 1 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-011,Early Warning,/early-warning,empty,"11 buttons, 0 inputs, 0 selects, 3 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by navigation,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-early-warning.png,"heading 'Early Warning'; 11 buttons, 0 inputs, 0 selects, 3 tabs, 0 tables",PASS,
RUI-012,Early Warning Signals,/early-warning/signals,populated,"7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-early-warning-signals.png,"heading 'Early Warning Signals'; 7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-013,What-If,/what-if,populated,"44 buttons, 9 inputs, 1 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by whatif_chat; exercised by whatif_journeys; exercised by navigation,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-what-if.png,"heading 'What-If'; 44 buttons, 9 inputs, 1 selects, 0 tabs, 0 tables",PASS,
RUI-014,Borrower 360,/borrower-360,populated,"6 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-borrower-360.png,"heading 'Borrower 360'; 6 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",PASS,
