Sequential implementation phases

Read with the Word prompt; no implementation phase may silently omit a mapped requirement.

Phase | Name | Depends on | Do this | Exit gate
P0 | Baseline audit and isolation | None | Read this prompt, every workbook sheet and the latest supplied branch report. Verify the actual full SHA of the accepted ANB branch and the locally running version separately. Protect the original frozen build and the ANB/Planner worktrees. Record dirty/untracked state; do not discard it. Create a separate implementation branch/worktree and database from the verified latest accepted ANB version, not blindly from c0db151f, old local 59e5a301 or the Planner branch. | Deliver baseline manifest: SHA, catalogue/bundle hashes, migrations, existing screens, route map, launcher ownership, port checks and same-environment test baseline. Stop only for genuinely destructive or unresolved baseline decisions.
P1 | Identity, metric and cohort contracts | P0 | Implement canonical product/subproduct/customer/facility/employer identities and immutable origination records. Define metric grains, outcome windows, PD horizons, current-bad and forward-risk meanings. Persist authorization-scoped CohortSnapshot objects with exact IDs and period/version hashes. | Contract tests must pass before new story adapters: unique facility-month; EWS grain-safe joins; immutable application features; ID/period coverage; unambiguous denominator and missing-data states.
P2 | Ten coherent synthetic episodes | P1 | Extend the existing generator with all ten cases and credible controls. Use the worked workbook as a miniature engineering fixture, not literal bank population statistics. Preserve the accepted Alpha calibration and existing gates. Create temporal evidence and mature-vintage comparators without future leakage; use fictitious employer/project labels and clearly draft policy clauses. | Deterministic seed/bundle and all ten severity/concentration gates. No chart-only or narrative-only manipulation; no protected-characteristic penalty. Production-sized demo populations must support the rates displayed.
P3 | Atomic Cockpit/EWS publication | P2 | Generate the financial book, EWS panel/score, governed views and evidence domains from the same source version. Validate a staged bundle, then publish catalogue and manifest atomically. Preserve the five existing dataset registrations; add new domains without overwriting old registrations. | Every pocket including Alpha exists in both Cockpit and EWS at the same date. Failure midway leaves the last complete bundle usable. Fail on stale cross-domain hashes rather than silently joining them.
P4 | Ten evidence-driven cards and drawers | P3 | Generalize the existing Risk Case contract and add ten story adapters; do not hardcode ten static text cards. Preserve the layout and add rich drawer panels. Use real severity arithmetic and deduplicate repeated instances of the same occurrence. Make all ten discoverable through the current list/scroll/Show all pattern. | Each drawer shows root/affected scope, current/comparator measures, PD and score coverage, stage/ECL changes, chart data and sources. No 1–29 default label, no rate hidden by the 0-DPD scale.
P5 | Stateful investigation threads | P4 | Carry the complete drawer snapshot into S0 at the thread top. Add five case-specific prompt chips above the composer, a recommended next question and visited markers. Allow paraphrases, counterarguments and free-form follow-ups. Add Export customers to Borrower 360 next to Trace/Save at S0 and every completed step. | Fifty planned questions and variations run in real threads. Save/reload/back/export retain exact step scope. Missing evidence is explicit; no silently substituted cohort or provider/model marketing strings.
P6 | Versioned policy action engine | P3,P5 | Retrieve effective-dated bank clauses and validate actions against structured rules. Every action has evidence, owner, order, deadline, scope, approval and customer safeguards. In absence of approved bank policy use the clearly marked DEMO_DRAFT templates; never describe them as ANB policy. | No irreversible action execution. Existing balances and contractual limits are not silently mutated. Missing/outdated policy blocks compliance claims and execution but not exploratory analysis.
P7 | Borrower 360 investigation workspace | P5 | Add imported-cohort mode with a full customer list and facility expansion, EWS histories/reasons, score and IFRS9 detail and exact issue. Add selection, notes, Save investigation and recent cards below the chatbox. Standard standalone Borrower 360 remains unchanged outside exported/saved context. | Reopening restores the saved immutable snapshot and notes. Refresh-to-latest creates a new version. Permissions are rechecked at export/reopen; multi-facility and overlapping-case cohorts do not double-count.
P8 | Stage-aware Excel evidence exports | P5,P7 | Implement one generic XLSX export service from persisted step snapshots. Export selected or all-matched rows across pagination, their facilities and all completed diagnosis up to that step, ECL detail, EWS history, charts/data, policy references and notes. | Test all 60 S0–S5 exports, file integrity, typed values, counts/totals, no future-step leakage, no formula injection or unauthorized fields. Queue large exports; never truncate at a hidden 50,000-row cap.
P9 | Borrower 360 to What-If | P7,P8 | Export explicit selected customers and included facilities with source bundle/hash. Present the unchanged baseline before a scenario. Use the governed ECL engine and separate what-if parameters, with existing-limit/new-business, recovery, subsidy, rescheduling and stage-correction scenarios handled distinctly. | IDs, EAD, stage totals and ECL reconcile to the selected 360 scope. Scenarios never overwrite published actuals. Unsupported simulations are labeled unavailable, not replaced with a crude universal percentage.
P10 | Real-browser, data and regression verification | P4–P9 | Run each entire case with fresh threads and test every handoff, all six export stages, role changes, reload, stale bundles and start-stop-start. Include overlapping cases and multi-facility customers even though this compact workbook is disjoint. Compare failures against the exact audited baseline and same data. | Provide screenshots plus machine assertions for all ten stories. Known reported failures are not new regressions or a green suite; prove attribution. No unexplained new failures and no untested UI claims.
P11 | Freeze and handoff | P10 | Record final source SHA, model/policy/data manifests, migrations and demo login details from the seeder. Update runbook and phased status file. Create a dedicated local launcher only where actual Mac access exists; remote Claude Code must supply the setup artifact, not claim it changed the Mac. | Launcher loads its own environment, verifies prerequisites and database, refuses occupied/unowned ports, waits on real health endpoints, opens the correct URL and passes stopped→start→stop→start. Never modify another demo or merge main without authorization.
