Thirty ordered policy actions

DEMO_DRAFT ONLY. Actual bank policy must be supplied, effective-dated and approved before describing any recommendation as bank-policy compliant.

Case | Policy | Version | Clause | Status | Effective from | Draft clause / action | Owner | Timing | Safeguard | Research context
C01 | DEMO-CC-01 | v1 | 1.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Existing accounts: within one business day assign confidential early-arrears contact, verify cash flow and pause discretionary limit increases only where policy/terms permit. | Servicing / investigation owner | 1 business day (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R03,R07
C01 | DEMO-CC-01 | v1 | 2.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | NEW originations: test 20,000→17,000 SAR at 600–619, 15,000→12,000 at 590–599 and 10,000→7,500 at 580–589. These are trial assumptions, not approved or optimized reductions. | Credit / operations / model owner | Before new limit approval (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R03,R07
C01 | DEMO-CC-01 | v1 | 3.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Credit policy owner reviews the controlled expansion, not all cards. Approval is required; measure cure, 30+ roll rate and complaints after intervention. | Policy committee / delegated authority | Next policy review, within 30 days (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R03,R07
C02 | DEMO-PF-02 | v1 | 1.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Underwriting owner reviews the relevant historical exception approvals and verifies whether each was authorized; separate policy design from policy non-compliance. | Servicing / investigation owner | 2 business days (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R07
C02 | DEMO-PF-02 | v1 | 2.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | NEW lending: place only the evidenced exception route on second-level approval pending review; refresh verified obligations and residual-income assessment. | Credit / operations / model owner | Before next exception approval (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R07
C02 | DEMO-PF-02 | v1 | 3.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Use the applicable policy ceiling and residual-income requirement to calculate affordable principal and tenor. Track MOB3/MOB6 performance; do not retroactively apply today’s rules to old decisions. | Policy committee / delegated authority | At MOB3 and MOB6 review (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R07
C03 | DEMO-EMP-03 | v1 | 1.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Servicing owner performs confidential customer contact and verifies the documented income interruption and alternative resources. | Servicing / investigation owner | 1 business day (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R03,R07
C03 | DEMO-EMP-03 | v1 | 2.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Assess the applicable response to changed circumstances under current collections rules and the bank’s hardship policy; no automatic new borrowing to cover missed payments. | Credit / operations / model owner | Applicable hardship deadline, sooner if required (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R03,R07
C03 | DEMO-EMP-03 | v1 | 3.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | NEW verified payroll-linked exposure to the affected employer may go to manual review, subject to policy approval. Track restored payroll and sustainable arrangements weekly. | Policy committee / delegated authority | Weekly while payroll unresolved (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R03,R07
C04 | DEMO-TOPUP-04 | v1 | 1.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Stop discretionary new top-up offers to the corroborated cohort pending refreshed obligations and affordability, within approved marketing/policy controls. | Servicing / investigation owner | 1 business day (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R06,R07
